CustomerID,ProductID,Quantity,Price,TransactionDate,TotalPrice
685,38,3,8.12,2023-06-12,24.36
560,39,3,6.7,2023-03-04,20.1
630,11,4,6.24,2023-12-15,24.96
193,42,1,3.68,2023-03-06,3.68
836,20,4,5.97,2023-11-11,23.88
764,42,2,3.68,2023-08-25,7.36
708,43,1,2.36,2023-12-02,2.36
360,10,2,2.62,2023-12-22,5.24
10,14,3,3.63,2023-09-25,10.89
724,10,3,2.62,2023-01-23,7.86
278,30,3,8.08,2023-11-09,24.240000000000002
755,2,1,8.44,2023-09-27,8.44
805,20,2,5.97,2023-09-12,11.94
600,33,2,9.5,2023-02-11,19.0
71,35,2,5.0,2023-09-05,10.0
473,31,2,8.03,2023-08-20,16.06
601,37,2,7.58,2023-01-26,15.16
397,27,4,6.38,2023-01-18,25.52
315,41,2,9.52,2023-08-02,19.04
706,1,3,2.48,2023-12-31,7.4399999999999995
487,18,1,8.8,2023-07-14,8.8
552,32,4,2.35,2023-01-13,9.4
88,24,1,9.19,2023-09-26,9.19
175,33,4,9.5,2023-01-01,38.0
601,18,1,8.8,2023-07-15,8.8
850,8,1,5.56,2023-04-11,5.56
678,8,4,5.56,2023-04-28,22.24
538,17,4,2.87,2023-09-07,11.48
846,43,3,2.36,2023-07-13,7.08
73,31,1,8.03,2023-11-24,8.03
778,31,2,8.03,2023-10-20,16.06
917,35,1,5.0,2023-05-14,5.0
116,26,2,2.12,2023-04-04,4.24
977,19,4,5.35,2023-06-07,21.4
756,10,1,2.62,2023-05-06,2.62
710,19,1,5.35,2023-05-23,5.35
848,21,2,3.98,2023-07-02,7.96
432,13,4,2.86,2023-02-04,11.44
449,16,2,2.77,2023-06-25,5.54
851,22,3,5.05,2023-06-10,15.149999999999999
100,43,2,2.36,2023-08-08,4.72
985,39,4,6.7,2023-05-21,26.8
178,22,1,5.05,2023-08-12,5.05
756,12,1,3.08,2023-03-05,3.08
798,6,1,9.33,2023-03-17,9.33
660,22,1,5.05,2023-08-25,5.05
148,23,1,9.75,2023-06-27,9.75
911,44,1,2.1,2023-11-18,2.1
424,27,2,6.38,2023-12-01,12.76
